Asset,Close Price,Average trades per day,Average Time held (minutes),Strike Rate %,Average Profit per trade %,Maximum Drawdown %,Final Net Return %,Days Traded,Buy and Hold return %
ESTE,15.14,0.458167331,207.7826087,66.95652174,0.888764576,-1.9810131,166.357243,251,51.70340681
SHAK,50.73,0.513944223,207.8139535,62.01550388,0.628795136,0.519859213,118.000271,251,-28.49894292
DK,29.13,0.458167331,195.1652174,63.47826087,0.699529211,-0.706137968,116.7389367,251,35.04867872
SNDX,23.55,0.454183267,202.5,58.77192982,0.684571853,3.384372705,109.5315088,251,23.62204724
BSM,17.63,0.565737052,217.8873239,65.49295775,0.459833207,-0.689061154,89.0604991,251,43.91836735
HZO,28.13,0.549800797,222.9057971,61.5942029,0.475167286,3.028909448,87.37964254,251,-39.90600299
VRDN,20.01,0.426294821,225.6915888,54.20560748,0.594798773,5.951117456,81.94546561,251,23.59481161
FWRG,15.95,0.430278884,229.7592593,60.18518519,0.571720404,-0.54208134,81.68921293,251,-28.73100983
SG,17.74,0.343347639,199.2125,66.25,0.77106719,4.510776601,80.00168841,233,-65.88461538
PERI,23.45,0.541832669,204.0882353,61.76470588,0.445967985,10.71585537,78.97028231,251,11.03219697
BCYC,24.31,0.346613546,227.0344828,51.72413793,0.72641139,0.617620345,76.78306955,251,-55.59817352
ARVN,44.01,0.450199203,202.9115044,62.83185841,0.528445157,10.87223313,75.6015491,251,-47.65076722
SM,44.5,0.501992032,188.3253968,61.11111111,0.455262133,11.23962822,71.71637474,251,40.95660437
TMCI,23.53,0.342629482,224.2674419,63.95348837,0.631217158,-3.802051901,67.73174734,251,7.295941632
SMCI,64.53,0.454183267,212.9210526,58.77192982,0.466301368,1.19021494,65.07928361,251,83.06382979
,STNG
,47.66,0.442231076,185.9099099,58.55855856,0.474015259,5.426789592,64.81334396,251,175.0144259
DGII,37.84,0.422310757,243.8679245,58.49056604,0.47907959,2.937134054,63.58045005,251,78.82797732
KBH,27.34,0.629482072,198.7911392,61.39240506,0.318928035,6.003143328,62.41191156,251,-33.13768648
AM,10.31,0.541832669,215.9632353,63.97058824,0.354947931,1.067285383,60.58402483,251,-10.9671848
HUBG,71.59,0.509960159,225.15625,60.9375,0.377892594,5.001041661,58.89344384,251,-8.988049835
AMN,114.89,0.486055777,222.6721311,63.93442623,0.394700898,1.870096479,58.67619616,251,18.9214367
AA,41.06,0.478087649,166.7083333,61.66666667,0.385372208,6.61522374,55.96244339,251,-17.73653251
PATH,11.75,0.537848606,185.9185185,57.77777778,0.354416093,5.265062866,55.39854383,251,-77.1133619
KTB,34.9,0.553784861,198.2446043,56.11510791,0.326428519,-0.083837615,54.53794011,251,-32.48210486
DY,112.62,0.525896414,238.1590909,58.33333333,0.337547279,8.749213405,53.26037574,251,41.14550696
OSTK,24.81,0.501992032,200.7936508,57.14285714,0.365264877,7.820307483,52.68174565,251,-69.83219844
SMPL,35.63,0.569721116,178.1328671,56.64335664,0.298106278,6.001478364,50.97766201,251,-7.382375877
ETSY,100.91,0.454183267,198.9824561,56.14035088,0.377054945,7.458749057,50.3121189,251,-58.55852156
PCOR,53.45,0.414342629,200.625,55.76923077,0.421342155,1.957725982,50.16155518,251,-46.95842016
AMTB,28.5,0.486055777,234.2786885,61.47540984,0.345044903,1.273454837,50.07870236,251,6.741573034
LITE,71.9,0.577689243,191.7724138,53.79310345,0.283655306,-0.384432729,49.07303328,251,-14.39457078
RADA,10.64,0.434262948,199.2293578,55.96330275,0.358073068,10.00545663,44.25263007,251,2.111324376
DRQ,24.16,0.374501992,209.8510638,55.31914894,0.393205871,-0.525,41.87326636,251,-4.61902882
SOHU,15.9,0.517928287,247.3230769,54.61538462,0.290383314,1.528893496,41.37661502,251,-26.52495379
LESL,13.38,0.597609562,173.4333333,55.33333333,0.242236498,2.518239586,40.94405958,251,-39.18181818
SIGI,92,0.442231076,227.3693694,61.26126126,0.313879059,-0.176557749,40.41116042,251,16.75126904
SQSP,21.57,0.442231076,206.8738739,54.95495495,0.336904206,10.11769435,40.27893733,251,-44.73481937
RVNC,23.37,0.406374502,215.7352941,57.84313725,0.348046966,3.901718848,39.0691917,251,62.17904233
PRGS,48.02,0.533864542,207.8283582,64.92537313,0.250507724,-0.154202005,38.7425012,251,-6.009003719
IONS,44.95,0.549800797,204.5724638,55.07246377,0.247308326,6.37649501,37.72575945,251,47.57058437
TSVT,14.85,0.278688525,229.9558824,52.94117647,0.510114613,-0.631167109,36.95102542,244,-34.14634146
MYE,17.62,0.478087649,222.575,57.5,0.271342056,7.529036074,36.8168928,251,-13.45776031
VTNR,7.84,0.458167331,191.4173913,54.7826087,0.304862925,20.37014378,36.41290041,251,57.74647887
AGL,20.15,0.438247012,178.2909091,51.81818182,0.302871366,13.65304438,35.63846373,251,-15.19360269
PZZA,70.45,0.529880478,208.5413534,56.39097744,0.234794425,1.857804875,34.92627877,251,-41.78648157
RBLX,42.81,0.406374502,156.6176471,54.90196078,0.316438375,-0.312770073,34.58944696,251,-47.44659956
CONN,7.16,0.374501992,220.3191489,54.25531915,0.343195677,1.772713326,34.10697953,251,-70.26578073
GPS,10.27,0.545816733,227.8394161,55.47445255,0.231089735,5.292612837,34.07966587,251,-54.39609236
NOAH,14.25,0.434262948,223.0917431,56.88073394,0.287481464,6.241354741,33.3724632,251,-62.67679413
MDC,29.37,0.597609562,210.4466667,53.33333333,0.20334251,1.297237128,33.24730896,251,-40.91732046
VCTR,26.67,0.513944223,226.0387597,58.91472868,0.229400264,9.070217796,32.3397963,251,-28.11320755
TNK,32.59,0.354581673,217.8314607,52.80898876,0.327852705,4.531856334,31.88453773,251,139.4562821
EVTC,33.25,0.553784861,195.7985612,58.99280576,0.204491472,-0.057247538,31.81627687,251,-28.89221557
QS,8.1,0.513944223,156.2790698,56.58914729,0.23126337,8.544892123,31.76791708,251,-65.2360515
PATK,44.21,0.521912351,238.7480916,55.72519084,0.221856615,0.863770977,31.72900333,251,-45.35228677
GABC,37.59,0.470119522,234.3220339,57.62711864,0.237084025,1.902637939,31.14468688,251,-5.552763819
IBOC,47.91,0.490039841,216.8780488,58.53658537,0.225139991,2.077455428,30.94552295,251,11.31505576
SCU,9.24,0.446215139,217.6875,57.14285714,0.259015468,7.165820538,30.54828934,251,-62.96593186
APPF,97.78,0.462151394,229.887931,57.75862069,0.234557151,0.279351904,29.17809402,251,-26.56402554
M,19.46,0.569721116,182.7272727,56.64335664,0.18985717,2.589819738,28.82510867,251,-27.17065868
VECO,18.48,0.573705179,195.9166667,55.55555556,0.187192192,1.987230175,28.44849714,251,-19.08931699
SHOO,28.94,0.589641434,186.4527027,55.40540541,0.17871722,1.41132957,27.82292516,251,-35.21379002
HP,44.91,0.442231076,190.3423423,56.75675676,0.22774268,3.061050636,26.80863565,251,29.46093975
ADNT,32.95,0.545816733,146.8248175,55.47445255,0.194099194,6.63914612,26.77282146,251,-23.69152385
ACGL,48.23,0.569721116,178.8461538,57.34265734,0.167259671,1.982241575,26.22835916,251,11.72110262
OKTA,55.01,0.494023904,164.0322581,57.25806452,0.208724094,4.938118537,26.10838732,251,-78.84230769
WFRD,36.35,0.38247012,217.75,54.16666667,0.267191296,0.897907493,25.8279815,251,26.34688912
WYNN,58.8,0.597609562,211.0466667,56,0.167002758,11.01127484,25.78416226,251,-34.25760286
PLMR,81.03,0.390438247,241.4387755,52.04081633,0.253702529,21.65045245,25.42749617,251,-0.209359606
CAL,26.35,0.501992032,187.3253968,57.14285714,0.195306535,14.68444126,25.20035557,251,13.82289417
UMPQ,18.39,0.597609562,179.42,54,0.151205464,2.655311667,24.17041979,251,-13.04964539
VC,123.85,0.501992032,199.1111111,61.11111111,0.174189321,20.29791047,21.49039631,251,17.57167268
LBRT,15.82,0.410358566,209.1553398,55.33980583,0.205860302,-1.189189189,20.82330352,251,3.601833661
PRCT,42.38,0.322709163,215.2098765,53.08641975,0.261719286,10.32948932,20.20805656,251,-0.376116596
TRGP,67.79,0.494023904,182.0806452,56.4516129,0.156833387,-0.274725275,20.05900013,251,19.24362357
SP,34.95,0.498007968,249.8,49.6,0.147106747,7.839943873,18.65972124,251,11.84
BC,67.16,0.601593625,198.5231788,51.65562914,0.117704184,1.856621083,17.65714504,251,-28.40848524
CCRN,36.43,0.422310757,230.8773585,48.11320755,0.162237751,17.35685142,14.7048712,251,83.80423814
MARA,11.7,0.35059761,129.3522727,53.40909091,0.185656789,10.42630987,14.33603287,251,-77.08578143
APTV,87.04,0.593625498,163.9932886,51.67785235,0.095782422,1.548019933,13.99676318,251,-48.64290772
DCT,11.71,0.470119522,172.9745763,48.30508475,0.119728497,6.781199222,12.5461969,251,-63.67866005
GRC,26,0.521912351,233.6870229,51.90839695,0.084715995,7.989799939,10.7832281,251,-34.86973948
SAIC,98.83,0.529880478,212.5864662,53.38345865,0.06788426,5.262188876,8.696154491,251,7.65795207
ANF,16.94,0.501992032,205.4285714,51.58730159,0.068376458,7.216855835,7.108464828,251,-56.1934316
BMI,101.52,0.505976096,236.1653543,51.96850394,0.056473682,11.97493269,6.327052364,251,-2.571976967
GRBK,20.36,0.513944223,201.496124,50.3875969,0.039079589,8.752030071,2.848381179,251,-20.31311155
SII,33.43,0.426294821,229.6074766,48.59813084,0.039629341,16.95284401,2.511036148,251,-17.84222168
UPST,21.85,0.390438247,145.0510204,54.08163265,0.063097966,19.83714146,0.902946254,251,-93.73692206
AMK,18.49,0.482071713,245.7520661,47.10743802,0.013708731,10.1501033,0.502166739,251,-28.49601875
CODI,18.72,0.537848606,207.1481481,45.18518519,0.00829223,15.70267273,0.197266024,251,-36
PD,23.4,0.577689243,202.1862069,51.72413793,0.023003855,25.80107418,-0.194913902,251,-44.13941275
FLWS,6.38,0.346613546,199.5057471,50.57471264,0.018001515,18.00720798,-0.584806556,251,-78.07560137
WRBY,14.06,0.346613546,192.3103448,48.27586207,-0.009381328,27.26888965,-4.52861918,251,-75.58179924
INMD,32.34,0.474103586,187.7647059,57.98319328,-0.011496614,31.53425509,-4.610284322,251,-62.04670813
CERE,26.23,0.426294821,194.0093458,50.46728972,-0.050316342,17.94536296,-7.588138,251,-34.425
HTZ,17.9,0.554166667,213.4586466,46.61654135,-0.062665506,21.58621455,-10.67468717,240,-31.80952381
ARCT,14.71,0.35059761,221.9659091,51.13636364,-0.071965289,30.79994317,-10.82663242,251,-66.66666667
EXFY,13,0.364016736,225.4597701,48.27586207,-0.183704428,31.57039513,-18.75667403,239,-67.29559748
TASK,19.87,0.322709163,207.7037037,48.14814815,-0.40962294,46.57044152,-31.6592991,251,-66.75033467
